Order to Dispatch Status Report - TAPARIA IMPEX PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Left,Image,Sales Order No,Design No,DivisionName,Party Name,Order Date,Design MRP,SO Qty,Lot Qty,Dispatch Qty,Dispatch%,SO Open?,Prod Active?,Order Value,Sale Value,Order Created By,Expected DDemoivery Date,# of Lots,# of Articles,PO Days Diff,Is FabricPORaised,Is TrimsPORaised,Fabric PO Days Diff,Trims PO Days Diff,Last Dispatch Date,Pending Qty,Ready Stock,Assorted Qty,Rejected Qty,Accesories,Accesories_Thread,Consumables,Knits -Fabric,Packing Material,Printing Chemical,Woven-Fabric,Consumption,Accesories,Accesories_Thread,Consumables,Knits -Fabric,Packing Material,Printing Chemical,Woven-Fabric,CUTTING_OutQty,CUTTING_InQty,CUTTING_OutDate,CUTTING_InDate,CUTTING_JWCost,CUTTING_JWName,Pending CUTTING,#Days CUTTING,PRINTING_OutQty,PRINTING_InQty,PRINTING_OutDate,PRINTING_InDate,PRINTING_JWCost,PRINTING_JWName,Pending PRINTING,#Days PRINTING,EMBRODIERY_OutQty,EMBRODIERY_InQty,EMBRODIERY_OutDate,EMBRODIERY_InDate,EMBRODIERY_JWCost,EMBRODIERY_JWName,Pending EMBRODIERY,#Days EMBRODIERY,STITCHING_OutQty,STITCHING_InQty,STITCHING_OutDate,STITCHING_InDate,STITCHING_JWCost,STITCHING_JWName,Pending STITCHING,#Days STITCHING,STITCH_TO_PACK_OutQty,STITCH_TO_PACK_InQty,STITCH_TO_PACK_OutDate,STITCH_TO_PACK_InDate,STITCH_TO_PACK_JWCost,STITCH_TO_PACK_JWName,Pending STITCH_TO_PACK,#Days STITCH_TO_PACK,WASHING_OutQty,WASHING_InQty,WASHING_OutDate,WASHING_InDate,WASHING_JWCost,WASHING_JWName,Pending WASHING,#Days WASHING,IRON_TO_FINISHING_OutQty,IRON_TO_FINISHING_InQty,IRON_TO_FINISHING_OutDate,IRON_TO_FINISHING_InDate,IRON_TO_FINISHING_JWCost,IRON_TO_FINISHING_JWName,Pending IRON_TO_FINISHING,#Days IRON_TO_FINISHING,PACKING_Finishing_OutQty,PACKING_Finishing_InQty,PACKING_Finishing_OutDate,PACKING_Finishing_InDate,PACKING_Finishing_JWCost,PACKING_Finishing_JWName,Pending PACKING_Finishing,#Days PACKING_Finishing,Fabric Days,Trims Days,Total Days,Ideal Days,IDemoe Days,RM Cost,JW Cost,Total Cost,Cost Per Pcs,Cost / CostSheet,GP,Cut To Ship
-117,,03572/25-26,Design,Knits - Kids,HOME2,01/04/25,0.00,10000,0,161587,1615.9,Yes,False,1000000.00,9667247.00,Manoj,11/12/25,0,1,,No,No,,0,06/04/26,-151587,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,51.00,0.00,9667247.00,0
-301,,00049/25-26,Demo-UP-HS-0491-0425,Knits - Kids,Hero123,01/04/25,0.00,750,750,0,0,Yes,False,42000.00,,MALOTI RIKIASON,10/06/25,1,1,2,Yes,No,2,2,,750,0,0,0,815,,,,,,,0.081,489,,,4752,,,,750.00,750.00,02/05/2025,03/05/2025,750.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,1,750.00,750.00,05/05/2025,09/05/2025,6000.00,LAXMI MACHINE MANORANJAN,0,4,-,-,-,-,-,-,0,0,750.00,750.00,09/05/2025,17/05/2025,6750.00,RUKSANA ENTERPRISE,0,8,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,746.00,728.00,21/05/2025,28/05/2025,1019.20,SHANKAR ENTERPRISE IN HOUSE,18,7,-,-,-,-,-,-,0,0,28,0,26,20,6,5241.00,14519.20,19760.20,25.95,0.00,-19760.20,0
84,,00338/25-26,Demo-JB-WO-CA-SH-FS-RF-00598-0425,Woven,Raju mega amrt,08/04/25,299.00,7200,7200,0,0,Yes,True,1080000.00,,MD SAMIM SK,30/06/26,1,1,2,Yes,Yes,2,2,,7200,0,15,23,36,,,,,,,0.731,34389.6,,,,,,647441.25,7200.00,7200.00,24/07/2025,04/08/2025,10800.00,TIPL- LINE NO-8,0,11,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,7200.00,7200.00,05/08/2025,27/08/2025,313200.00,TIPL- LINE NO-8,0,22,-,-,-,-,-,-,0,0,7200.00,7194.00,27/08/2025,11/09/2025,43164.00,RAZA WASHING PROCESS,6,15,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,90,83,49,48,1,681830.85,367164.00,1048994.85,145.69,0.00,-1048994.85,0
84,,00339/25-26,Demo-JB-WO-CA-SH-FS-RF-00599-0425,Woven,Raju mega amrt,08/04/25,299.00,7200,7200,3960,55,Yes,True,1080000.00,677952.00,MD SAMIM SK,30/06/26,1,1,2,Yes,Yes,2,2,26/07/25,3240,3960,0,0,75146,,,,8758,,,0.677,39276.1,,,,11439,,636352.5,7200.00,7205.00,06/06/2025,16/06/2025,10807.50,TIPL- LINE NO-3,0,10,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,7204.00,7204.00,17/06/2025,01/07/2025,285998.80,"BLOCK 4 STICHING BAPI GAZI, TIPL- LINE NO-3",0,14,-,-,-,-,-,-,0,0,7198.00,7192.00,01/07/2025,07/07/2025,43152.00,RAZA WASHING PROCESS,6,6,7191.00,7180.00,07/07/2025,15/07/2025,46670.00,SHANKAR ENTERPRISE IN HOUSE,11,8,-,-,-,-,-,-,0,0,55,67,39,38,1,687067.60,386687.50,1073755.10,131.84,0.00,-395803.10,55
84,,00345/25-26,Demo-JB-WO-CA-SH-FS-RF-00601-0425,Woven,Raju mega amrt,09/04/25,399.00,6000,6000,4200,70,Yes,True,1110000.00,777000.00,MD SAMIM SK,30/06/26,1,1,8,Yes,Yes,8,8,01/08/25,1800,4200,0,29,30,,,,2,,,0.671,18225,,960,,5978,,776030.9,6000.00,6000.00,17/06/2025,28/06/2025,01/02/9000,TIPL- LINE NO- 5,0,11,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,6000.00,6000.00,28/06/2025,16/07/2025,244200.00,"BLOCK 4 (2ND FLOOR) NOOR DA, BLOCK 4 STICHING BAPI GAZI, TIPL- LINE NO- 5",0,18,-,-,-,-,-,-,0,0,6000.00,6000.00,17/07/2025,17/07/2025,36000.00,RAZA WASHING PROCESS,0,1,5994.00,5965.00,23/07/2025,29/07/2025,38772.50,MAHADEV ENTERPRISES AND FINISHING ( SUBHAJIT ),29,6,-,-,-,-,-,-,0,0,68,100,42,36,6,801193.90,329763.52,1130957.42,147.01,0.00,-353957.42,70
129,,00341/25-26,Demo-UP-FS-0723-0425,Knits - Kids,Raju mega amrt,09/04/25,129.00,50000,50040,33336,66.7,Yes,True,3750000.00,2500200.00,MALOTI RIKIASON,14/08/26,10,1,24,Yes,Yes,24,24,19/09/25,16664,33336,0,0,,,,,15,,,0.136,3937.5,41180,,2746006.13,39518,,,50040.00,50280.00,17/07/2025,21/07/2025,50280.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,4,50280.00,50280.00,21/07/2025,26/07/2025,382128.00,LAXMI MACHINE MANORANJAN,0,5,-,-,-,-,-,-,0,0,38568.00,38604.00,01/08/2025,23/08/2025,411502.19,"AKASH GARMENT , GOPALKA GARMENTS ( ADITYA SIR ), MAHAKASH EXIM , STORE, SUMITRA TEXTILE, TAPARIA  BLOCK 4, 2ND FLOOR,( ANIL ) , TAPARIA BLOCK 24 (L SUBRATA), TAPARIA BLOCK 4 4TH FLOOR (L FIROZ), TAPARIA KHILKAPUR ( LAXMI GARMENTS )",0,22,15072.00,14877.00,20/08/2025,01/09/2025,218195.99,"CHICCUBS  CLOTHING PRIVATE LIMITED, GOPALKA GARMENTS ( ADITYA SIR )",195,12,-,-,-,-,-,-,0,0,32942.00,32935.00,25/08/2025,25/08/2025,40155.34,"4TH FLOOR IRONING, PURUSOTTOM 4TH BLOCK 2ND FLOOR, TG ENTERPRISE",7,1,24436.00,24295.00,19/08/2025,25/08/2025,10932.75,RAJ SARKAR (GARMENTS FINISHING CONTRACTOR),141,6,83,104,46,50,-4,2830641.63,1120289.60,3950931.23,78.58,0.00,-1450731.23,66.3
129,,00343/25-26,Demo-UP-FS-0725-0425,Knits - Kids,Raju mega amrt,09/04/25,129.00,50000,50040,33658,67.3,Yes,True,3750000.00,2524350.00,MALOTI RIKIASON,14/08/26,10,1,24,Yes,Yes,24,24,23/09/25,16342,33658,0,0,,,,,18,,,0.139,1087.5,5800,,2568385.49,50619,,,51528.00,49896.00,28/07/2025,30/07/2025,49896.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",1632,2,49896.00,49896.00,31/07/2025,11/08/2025,316007.98,LAXMI MACHINE MANORANJAN,0,11,-,-,-,-,-,-,0,0,34788.00,34472.00,13/08/2025,27/08/2025,436969.00,"A & B  READY MADE  GARMENTS  , LOKENATH READYMADE FACTORY ( SENTU BISWAS ), MAHAKASH EXIM , MM Textiles, MODERN CREATION , RUKSANA ENTERPRISE, SUMITRA TEXTILE, TAPARIA BLOCK 24 (L SUBRATA), TAPARIA BLOCK 4 4TH FLOOR (L FIROZ), TAPARIA KHILKAPUR ( LAXMI GARMENTS )",316,14,13428.00,13378.00,23/08/2025,13/09/2025,167225.00,"CHICCUBS  CLOTHING PRIVATE LIMITED, GOPALKA GARMENTS ( ADITYA SIR )",50,21,-,-,-,-,-,-,0,0,27968.00,27904.00,03/09/2025,06/09/2025,55808.00,"AP ENTERPRISE ( PRASENJIT HAZRA ), VOLKAN SERVICES OPC PVT. LTD.",64,3,-,-,-,-,-,-,0,0,110,104,47,51,-4,2625891.99,1003927.50,3629819.49,72.13,0.00,-1105469.49,67.5
-194,,00392/25-26,EB-Demo-WO-CA-SH-HS-RF-00606-0425,Woven,intrn lmtd,11/04/25,399.00,2200,2200,0,0,Yes,True,506000.00,,Saikat Kr Das,25/09/25,1,1,132,Yes,Yes,132,132,,2200,0,0,0,4250,,,,714,,,0.84,3961.5,,,,2591.55,,308775.5,2200.00,2372.00,12/01/2026,27/01/2026,3558.00,TIPL- LINE NO-8,0,15,2396.00,2396.00,28/01/2026,02/02/2026,23960.00,LAXMI MACHINE MANORANJAN,0,5,-,-,-,-,-,-,0,0,2372.00,2372.00,24/01/2026,02/03/2026,86578.00,TIPL- LINE NO-8,0,37,-,-,-,-,-,-,0,0,2372.00,2372.00,02/03/2026,05/03/2026,14232.00,SUBHAJIT WASH,0,3,2351.00,2351.00,19/03/2026,01/04/2026,9874.20,SHANKAR ENTERPRISE IN HOUSE,0,13,-,-,-,-,-,-,0,0,132,216,79,73,6,315328.55,138202.20,453530.75,191.20,0.00,-453530.75,0
-342,,01398/25-26,GG_LADIES T-SHIRT,Others,market lmtd,15/04/25,199.00,292691,0,398953,136.3,Yes,True,37757139.00,52727087.00,RAKESH NAYAK,30/04/25,0,1,76,Yes,No,76,76,27/03/26,-106262,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,0,0,0,0,0.00,0.00,0.00,109.00,0.00,52727087.00,0
-342,,01397/25-26,GG_LADIES T-SHIRT,Others,bangur client,15/04/25,199.00,103528,0,206568,199.5,Yes,True,13355112.00,24548280.00,RAKESH NAYAK,30/04/25,0,1,,No,No,,0,24/03/26,-103040,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,109.00,0.00,24548280.00,0
